"Date","Season","Plot.Type","Sample","Sample.Type","Wet.Mass","Avg..Soil.moisture","Calc..dry.mass","Avg..Temp","Day","rain","Plot","Plot.pair","Unknown","Zoraptera"
2019-12-14,"Wet","W","1S","Soil",304.5,46.3,163.5165,29.7,0,387.6,"1","A",0,0
2019-12-14,"Wet","C","2S","Soil",341.3,51.26666667,166.32686665529,25.83333333,0,387.6,"2","A",0,0
2019-12-14,"Wet","W","3S","Soil",341.2,44.6,189.0248,30,0,387.6,"3","B",0,0
2019-12-14,"Wet","C","4S","Soil",389.2,50.8,191.4864,25.43333333,0,387.6,"4","B",0,0
2019-12-14,"Wet","W","5S","Soil",300.7,47.36666667,158.26843332331,28.3,0,387.6,"5","C",0,0
2019-12-14,"Wet","C","6S","Soil",557.4,50.33333333,276.84200001858,25.23333333,0,387.6,"6","C",0.0117647058823529,0
2019-12-14,"Wet","W","7S","Soil",285.7,53.46666667,132.94573332381,27.2,0,387.6,"7","D",0,0
2019-12-14,"Wet","C","8S","Soil",419.3,52.73333333,198.18913334731,25.06666667,0,387.6,"8","D",0,0
2019-12-14,"Wet","W","9S","Soil",301.4,48.03333333,156.62753334338,28.73333333,0,387.6,"9","E",0.038961038961039,0
2019-12-14,"Wet","C","10S","Soil",247.6,50.53333333,122.47946667492,25.4,0,387.6,"10","E",0,0
2020-01-16,"Dry","W","1S","Soil",1355,32.06666667,920.4966666215,29.76666667,33,46,"1","A",0.0224215246636771,0
2020-01-16,"Dry","C","2S","Soil",1361.2,36.76666667,860.73213328796,26.23333333,33,46,"2","A",0.0198675496688742,0
2020-01-16,"Dry","W","3S","Soil",1503.1,37.5,939.4375,30.7,33,46,"3","B",0.013840830449827,0
2020-01-16,"Dry","C","4S","Soil",1450.8,36.86666667,915.93839995164,26.3,33,46,"4","B",0.00540540540540541,0
2020-01-16,"Dry","W","5S","Soil",1609.1,35.93333333,1030.89673338697,30.33333333,33,46,"5","C",0.0233644859813084,0
2020-01-16,"Dry","C","6S","Soil",1417.7,35.76666667,910.63596661941,26.1,33,46,"6","C",0.0106382978723404,0
2020-01-16,"Dry","W","7S","Soil",1435.4,31.73333333,979.89973338118,29.66666667,33,46,"7","D",0.0134680134680135,0
2020-01-16,"Dry","C","8S","Soil",1567.6,43.16666667,890.91933328108,25.96666667,33,46,"8","D",0.00714285714285714,0
2020-01-16,"Dry","W","9S","Soil",1532.7,35.1,994.7223,30.5,33,46,"9","E",0,0
2020-01-16,"Dry","C","10S","Soil",1460.7,32,993.276,26.3,33,46,"10","E",0.0275229357798165,0
2020-03-16,"Dry","W","1S","Soil",1458.4,34.16666667,960.11333328472,29.83333333,93,12.2,"1","A",0.00512820512820513,0
2020-03-16,"Dry","C","2S","Soil",1600.7,38.1,990.8333,26.03333333,93,12.2,"2","A",0,0
2020-03-16,"Dry","W","3S","Soil",1739.2,26.26666667,1282.37013327536,30.16666667,93,12.2,"3","B",0.0122549019607843,0
2020-03-16,"Dry","C","4S","Soil",1505.8,32.63333333,1014.40726671686,26,93,12.2,"4","B",0.0138248847926267,0
2020-03-16,"Dry","W","5S","Soil",1750.4,25.73333333,1299.96373339168,30.33333333,93,12.2,"5","C",0.0177383592017738,0
2020-03-16,"Dry","C","6S","Soil",1852.8,35.73333333,1190.73280006176,25.33333333,93,12.2,"6","C",0,0
2020-03-16,"Dry","W","7S","Soil",1378.5,28.23333333,989.30350004595,29.5,93,12.2,"7","D",0.0182054616384915,0
2020-03-16,"Dry","C","8S","Soil",1722.3,40.76666667,1020.17569994259,25.43333333,93,12.2,"8","D",0,0
2020-03-16,"Dry","W","9S","Soil",1267.3,28.53333333,905.69706670891,30.3,93,12.2,"9","E",0.00668896321070234,0
2020-03-16,"Dry","C","10S","Soil",1496.8,29.26666667,1058.73653328344,25.6,93,12.2,"10","E",0.0110497237569061,0
2020-06-01,"Wet","W","1S","Soil",1480.8,41.33333333,868.73600004936,30.4,170,261.6,"1","A",0.00404858299595142,0
2020-06-01,"Wet","C","2S","Soil",1476.7,41.7,860.9161,26.73333333,170,261.6,"2","A",0.00421940928270042,0
2020-06-01,"Wet","W","3S","Soil",1668.8,40.46666667,993.49226661104,30.36666667,170,261.6,"3","B",0,0
2020-06-01,"Wet","C","4S","Soil",1713.5,45.1,940.7115,26.23333333,170,261.6,"4","B",0.00803212851405622,0
2020-06-01,"Wet","W","5S","Soil",1809.8,39.36666667,1097.34206660634,30.16666667,170,261.6,"5","C",0,0
2020-06-01,"Wet","C","6S","Soil",1537.4,40.16666667,919.87766661542,26.46666667,170,261.6,"6","C",0.00252525252525253,0
2020-06-01,"Wet","W","7S","Soil",1450.1,35.83333333,930.48083338167,28.56666667,170,261.6,"7","D",0.00216919739696312,0
2020-06-01,"Wet","C","8S","Soil",1810.5,48.96666667,923.95849993965,26.06666667,170,261.6,"8","D",0.00609756097560976,0
2020-06-01,"Wet","W","9S","Soil",1596.1,39.1,972.0249,30.13333333,170,261.6,"9","E",0,0
2020-06-01,"Wet","C","10S","Soil",1292.8,36.03333333,826.96106670976,26.5,170,261.6,"10","E",0.00386100386100386,0
2020-08-03,"Wet","W","1S","Soil",1634.7,43.9,917.0667,29.96666667,233,222.3,"1","A",0,0
2020-08-03,"Wet","C","2S","Soil",1845.5,45.43333333,1007.02783339485,27.16666667,233,222.3,"2","A",0,0
2020-08-03,"Wet","W","3S","Soil",1900.5,48.83333333,972.42250006335,29.96666667,233,222.3,"3","B",0,0
2020-08-03,"Wet","C","4S","Soil",1878.4,49.53333333,947.96586672928,26.8,233,222.3,"4","B",0,0
2020-08-03,"Wet","W","7S","Soil",1786.6,47.26666667,942.13373327378,30.3,233,222.3,"7","D",0,0
2020-08-03,"Wet","C","8S","Soil",2161.9,50.83333333,1062.93416673873,26.43333333,233,222.3,"8","D",0,0
2020-08-03,"Wet","W","9S","Soil",1646.1,42.53333333,945.95880005487,29.43333333,233,222.3,"9","E",0,0
2020-08-03,"Wet","C","10S","Soil",1935.9,48.63333333,994.40730006453,26.76666667,233,222.3,"10","E",0,0
2020-05-01,"Wet","W","1S","Soil",1230.1,32.13333333,834.82786670767,29.96666667,139,257.1,"1","A",0,0
2020-05-01,"Wet","C","2S","Soil",1220.6,35.6,786.0664,26.53333333,139,257.1,"2","A",0,0
2020-05-01,"Wet","W","3S","Soil",1416.5,40.26666667,846.12266661945,30,139,257.1,"3","B",0.0025706940874036,0
2020-05-01,"Wet","C","4S","Soil",1337.4,42.93333333,763.20960004458,26.36666667,139,257.1,"4","B",0.00112994350282486,0
2020-05-01,"Wet","W","5S","Soil",1385.1,35.53333333,892.92780004617,30.26666667,139,257.1,"5","C",0.00175438596491228,0
2020-05-01,"Wet","C","6S","Soil",1030.2,29.5,726.291,26.53333333,139,257.1,"6","C",0,0
2020-05-01,"Wet","W","7S","Soil",1155.5,30.7,800.7615,30.16666667,139,257.1,"7","D",0.0041025641025641,0
2020-05-01,"Wet","C","8S","Soil",1381.3,44.3,769.3841,26.16666667,139,257.1,"8","D",0,0
2020-05-01,"Wet","W","9S","Soil",1355.7,34.1,893.4063,30.43333333,139,257.1,"9","E",0,0
2020-05-01,"Wet","C","10S","Soil",1119.1,34.26666667,735.62173329603,26.66666667,139,257.1,"10","E",0,0
2020-02-14,"Dry","W","1S","Soil",1142.4,28.33333333,818.72000003808,29.7,62,0.5,"1","A",0.0087719298245614,0
