"Date","Season","Plot.Type","Sample","Sample.Type","Wet.Mass","Avg..Soil.moisture","Calc..dry.mass","Avg..Temp","Day","rain","Plot","Plot.pair","taxa","abundance","J","shannon","simpson","invsimp","diff.shannon","diff.moisture","monthly.mean.abundance","monthly.mean.taxa","monthly.mean.shannon","monthly.mean.J","monthly.mean.simpson","monthly.mean.invsimp","integer.abundance"
2019-12-14,"Wet","W","1L","Litter",829.3,46.3,414.65,NA,0,387.6,"1","A",18,1213.07126492222,0.612142870868152,1.76932046575479,0.757522459675347,4.12409330225432,4.2965048647553,9.68790637778362,5673.88807936678,17,1.51837767370284,0.545069578530841,0.702230093290676,3.40690032617965,1213
2019-12-14,"Wet","C","2L","Litter",380.4,51.26666667,190.2,NA,0,387.6,"2","A",15,1976.86645636172,0.6826875635251,1.84875219369412,0.80361588954278,5.09206166258464,4.2965048647553,9.68790637778362,2668.07098476782,15.6,1.83788749681575,0.670163562764049,0.792918017024008,5.0332768015426,1977
2019-12-14,"Wet","W","3L","Litter",548.4,44.6,274.2,NA,0,387.6,"3","B",11,2640.40846097739,0.611893972566089,1.46725766427004,0.712886511400751,3.48294329492751,1.30254985916895,12.2047244094488,5673.88807936678,17,1.51837767370284,0.545069578530841,0.702230093290676,3.40690032617965,2640
2019-12-14,"Wet","C","4L","Litter",410.4,50.8,205.2,NA,0,387.6,"4","B",13,4039.96101364522,0.579591034882058,1.4866216525112,0.698131811710892,3.31270414967433,1.30254985916895,12.2047244094488,2668.07098476782,15.6,1.83788749681575,0.670163562764049,0.792918017024008,5.0332768015426,4040
2019-12-14,"Wet","W","5L","Litter",789.4,47.36666667,394.7,NA,0,387.6,"5","C",14,2181.40359766912,0.531401919805696,1.40240013143484,0.657404821932739,2.91889689061436,29.4255058133387,5.89403972224464,5673.88807936678,17,1.51837767370284,0.545069578530841,0.702230093290676,3.40690032617965,2181
2019-12-14,"Wet","C","6L","Litter",583.4,50.33333333,291.7,NA,0,387.6,"6","C",18,2252.31402125471,0.687496457248057,1.98712034368345,0.81582763236169,5.42969617442213,29.4255058133387,5.89403972224464,2668.07098476782,15.6,1.83788749681575,0.670163562764049,0.792918017024008,5.0332768015426,2252
2019-12-14,"Wet","W","7L","Litter",536.9,53.46666667,268.45,NA,0,387.6,"7","D",21,6027.19314583721,0.525176573045788,1.5989118604046,0.709613418876942,3.44368529748359,16.6100994115396,-1.39064476620674,5673.88807936678,17,1.51837767370284,0.545069578530841,0.702230093290676,3.40690032617965,6027
2019-12-14,"Wet","C","8L","Litter",577.7,52.73333333,288.85,NA,0,387.6,"8","D",14,1779.47031331141,0.72654453969951,1.91739269278594,0.8236083984375,5.66920415224913,16.6100994115396,-1.39064476620674,2668.07098476782,15.6,1.83788749681575,0.670163562764049,0.792918017024008,5.0332768015426,1779
2019-12-14,"Wet","W","9L","Litter",468.5,48.03333333,234.25,NA,0,387.6,"9","E",21,16307.363927428,0.444732556368482,1.35399824664994,0.673723254567598,3.06488284561849,30.5481865577214,4.94722955177752,5673.88807936678,17,1.51837767370284,0.545069578530841,0.702230093290676,3.40690032617965,16307
2019-12-14,"Wet","C","10L","Litter",545,50.53333333,272.5,NA,0,387.6,"10","E",18,3291.74311926606,0.674498218465521,1.94955060140402,0.823406353067179,5.66271786878277,30.5481865577214,4.94722955177752,2668.07098476782,15.6,1.83788749681575,0.670163562764049,0.792918017024008,5.0332768015426,3292
2020-01-16,"Dry","W","1L","Litter",220.8,35.36666667,110.4,31.7,33,46,"1","A",14,2291.66666666667,0.740099325475403,1.95316454953917,0.822113934699449,5.62157580083876,-12.7820395881447,-11.0994764618952,11171.2954366511,15.6,1.37920710888646,0.507466045884187,0.666027772597789,3.28848204663939,2292
2020-01-16,"Dry","C","2L","Litter",141.1,31.83333333,70.55,27.26666667,33,46,"2","A",14,2537.207654146,0.656220909089855,1.73180459998037,0.750839359504132,4.01347499352164,-12.7820395881447,-11.0994764618952,7355.39614420665,19.4,1.62705610875165,0.556280136335494,0.718644301426079,3.70986031022741,2537
